t,gt_x,gt_y,gt_z,fused_x,fused_y,fused_z,err_3d,quality
15.05,0.646159,1.89274,17.525,0.574699,2.05375,17.4639,0.186446,1
15.1,0.598643,1.9083,17.55,0.516892,2.08113,17.4101,0.236902,1
15.15,0.550754,1.92267,17.575,0.598173,1.81512,17.4479,0.173154,1
15.2,0.50252,1.93584,17.6,0.53719,1.82546,17.5356,0.132422,1
15.25,0.453972,1.9478,17.625,0.496328,2.03828,17.612,0.100749,1
15.3,0.40514,1.95854,17.65,0.449031,2.05409,17.657,0.10539,1
15.35,0.356055,1.96805,17.675,0.367996,1.92515,17.6152,0.0745926,1
15.4,0.306748,1.97634,17.7,0.30772,1.93209,17.5247,0.180765,1
15.45,0.257249,1.98339,17.725,0.383973,2.02204,17.7355,0.132905,1
15.5,0.207589,1.9892,17.75,0.339939,2.03019,17.8294,0.159701,1
15.55,0.157799,1.99377,17.775,0.10803,2.14083,17.7676,0.15544,1
15.6,0.107911,1.99709,17.8,0.0426167,2.15379,17.7236,0.186154,1
15.65,0.0579552,1.99916,17.825,-0.00504564,2.14553,17.8531,0.161813,1
15.7,0.00796325,1.99998,17.85,-0.0596344,2.15308,17.8436,0.167477,1
15.75,-0.0420336,1.99956,17.875,0.0240651,1.88432,17.8392,0.137581,1
15.8,-0.0920043,1.99788,17.9,-0.0233875,1.87528,17.8835,0.141467,1
15.85,-0.141917,1.99496,17.925,-0.151106,1.95227,17.7287,0.201142,1
15.9,-0.191742,1.99079,17.95,-0.208263,1.9436,17.6922,0.262567,1
15.95,-0.241446,1.98537,17.975,-0.288347,2.08324,18.003,0.112079,1
16,-0.291,1.97872,18,-0.341525,2.08033,17.9399,0.128392,1
16.05,-0.340372,1.97082,18.025,-0.313005,1.96978,18.055,0.0406177,1
16.1,-0.389531,1.9617,18.05,-0.361787,1.95927,18.0362,0.0310678,1
16.15,-0.438447,1.95135,18.075,-0.361052,1.90798,17.9897,0.123043,1
16.2,-0.487088,1.93978,18.1,-0.411642,1.89157,18.0054,0.130271,1
16.25,-0.535426,1.927,18.125,-0.451868,2.0908,18.0919,0.186842,1
16.3,-0.583428,1.91301,18.15,-0.516406,2.08097,18.0813,0.19344,1
16.35,-0.631066,1.89783,18.175,-0.61822,2.00235,18.1375,0.111799,1
16.4,-0.67831,1.88146,18.2,-0.833458,1.79598,18.2926,0.199901,1
